Mapping market,Shown category bar,No entry point,No category bar,No query in search box,Did not select top stories,No top stories title
en-ww,,,,,,
en-za,,,,,,
ar-ae,,,,,,
ar-xa,,,,,,
ar-eg,,,,,,
es-xl,,,,,,
ar-sa,,,,,,
en-in,,,,,,
es-es,,,,,,
da-dk,,,,,,
de-at,,,,,,
de-ch,,,,,,
de-de,,,,,,
en-xa,,,,,,
en-au,,,,,,
en-ca,,,,,,
en-gb,,,,,,
en-id,,,,,,
en-ie,,,,,,
en-my,,,,,,
en-nz,,,,,,
en-ph,,,,,,
en-sg,,,,,,
es-ar,,,,,,
es-mx,,,,,,
es-us,,,,,,
fi-fi,,,,,,
fr-be,,,,,,
fr-ca,,,,,,
fr-ch,,,,,,
fr-fr,,,,,,
it-it,,,,,,
ja-jp,,,,,,
ko-kr,,,,,,
nb-no,,,,,,
nl-be,,,,,,
nl-nl,,,,,,
pl-pl,,,,,,
pt-br,,,,,,
pt-pt,,,,,,
ru-ru,,,,,,
sv-se,,,,,,
tr-tr,,,,,,
zh-cn,,,,,,
zh-hk,,,,,,
zh-tw,,,,,,
